2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AppListBackupLauncher.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AppLockerCSP.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\ApplySettingsTemplateCatalog.exe |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\ApplyTrustOffline.exe |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AppManagementConfiguration.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\appmgmts.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\appmgr.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AppMon.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AppointmentActivation.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AppointmentApis.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\appraiser.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AppReadiness.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\apprepapi.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AppResolver.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\ApproveChildRequest.exe |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\appsruprov.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AppV\AppVStreamingUX.exe |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AppVCatalog.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AppVClient.exe |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AppvClientEventLog.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AppVClientPS.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AppVDllSurrogate.exe |  | DETECTED
